	Fecha,Hora,Memoria total (kB),Memoria usada (kB),Memoria libre (kB),Memoria compartida (kB),Buffer (kB),Caché (kB),Memoria disponible (kB)
	2024-06-11,13:37:31,2006020,1339504,148880,43740,517636,463784,
	2024-06-11,13:37:36,2006020,1280592,207288,43740,518140,522696,
	2024-06-11,13:37:41,2006020,1280636,206840,43744,518544,522648,
	2024-06-11,13:37:46,2006020,1280420,206616,43744,518984,522864,
	2024-06-11,13:37:51,2006020,1284460,202080,43744,519480,518824,
	2024-06-11,13:37:56,2006020,1337196,148908,43744,519916,466088,
	2024-06-11,13:38:01,2006020,1349628,135744,43744,520648,453656,
	2024-06-11,13:38:06,2006020,1364284,119616,43712,522120,438976,
	2024-06-11,13:38:11,2006020,1364064,119616,43712,522340,439252,
	2024-06-11,13:38:16,2006020,1391912,145528,44220,468580,411360,
	2024-06-11,13:38:21,2006020,1362816,173568,44152,469636,440500,
	2024-06-11,13:38:26,2006020,1363636,172332,44152,470052,439704,
	2024-06-11,13:38:31,2006020,1367248,167852,44668,470920,435492,
	2024-06-11,13:38:36,2006020,1157216,396488,26028,452316,664580,
	2024-06-11,13:38:41,2006020,1157844,396264,25540,451912,664440,
	2024-06-11,13:38:46,2006020,1185160,309644,24900,511216,637588,
	2024-06-11,13:38:51,2006020,1206924,250172,35700,548924,605200,
	2024-06-11,13:38:57,2006020,1207916,248912,35720,549192,604192,
2024-06-11,13:50:09,2006020,1444948,159228,39036,401844,366212,
2024-06-11,13:50:14,2006020,1443156,174600,39036,388264,368048,
2024-06-11,13:50:19,2006020,1415448,201848,39036,388724,395756,
2024-06-11,13:50:24,2006020,1415788,201596,38036,388636,396416,
2024-06-11,13:50:29,2006020,1415348,201596,38036,389076,396856,
2024-06-11,13:50:35,2006020,1417940,191768,38044,396312,394256,
2024-06-11,13:50:40,2006020,1417760,191516,38044,396744,394436,
2024-06-11,13:50:45,2006020,1417564,191264,38044,397192,394636,
2024-06-11,13:50:50,2006020,1417404,191012,38044,397604,394796,
2024-06-11,13:50:55,2006020,1416940,191012,38044,398068,395260,
2024-06-11,13:51:00,2006020,1417012,190760,38044,398248,395188,
2024-06-11,13:51:05,2006020,1413624,190004,38064,402392,398556,
2024-06-11,13:51:10,2006020,1414064,189500,38064,402456,398116,
2024-06-11,13:51:15,2006020,1414180,189248,38064,402592,398000,
2024-06-11,13:51:20,2006020,1414324,188996,38108,402700,397812,
2024-06-11,13:51:25,2006020,1414260,188996,38108,402764,397876,
2024-06-11,13:51:30,2006020,1412908,186224,38108,406888,399120,
2024-06-11,13:51:35,2006020,1409856,152220,38112,443944,402264,
2024-06-11,13:51:40,2006020,1409792,152220,38112,444008,402328,
2024-06-11,13:51:45,2006020,1409976,151968,38112,444076,402140,
2024-06-11,13:51:50,2006020,1410160,151720,38112,444140,401956,
2024-06-11,13:51:55,2006020,1399584,82316,38124,524120,412436,
2024-06-11,13:52:00,2006020,1398192,126500,38096,481328,414456,
2024-06-11,13:52:05,2006020,1398128,126024,38096,481868,414512,
2024-06-11,13:52:10,2006020,1398696,125016,38096,482308,413952,
2024-06-11,13:52:15,2006020,1398832,124512,38096,482676,413816,
2024-06-11,13:52:20,2006020,1399112,124008,38096,482900,413536,
2024-06-11,13:52:25,2006020,1399140,123756,38096,483124,413508,
2024-06-11,13:52:30,2006020,1399292,123504,38096,483224,413356,
2024-06-11,13:52:35,2006020,1402236,120480,38096,483304,410412,
2024-06-11,13:52:40,2006020,1419564,102952,38096,483504,393084,
2024-06-11,13:52:45,2006020,1417728,92368,38096,495924,394920,
2024-06-11,13:52:50,2006020,1362224,131868,37988,511928,450472,
2024-06-11,13:52:55,2006020,1361692,124824,37992,519504,450952,
2024-06-11,13:53:00,2006020,1363608,116936,37992,525476,448932,
2024-06-11,13:53:05,2006020,1363020,116936,37992,526064,449516,
2024-06-11,13:53:10,2006020,1362576,116936,37992,526508,449952,
2024-06-11,13:53:15,2006020,1360592,115956,38000,529472,451828,
2024-06-11,13:53:20,2006020,1368664,106384,38000,530972,443820,
2024-06-11,13:53:25,2006020,1371004,103600,38000,531416,441476,
2024-06-11,13:53:30,2006020,1372092,102088,38000,531840,440384,
2024-06-11,13:53:35,2006020,1376988,89240,38008,539792,435444,
2024-06-11,13:53:40,2006020,1376984,88736,38008,540300,435440,
2024-06-11,13:53:45,2006020,1376880,88484,38008,540656,435540,
2024-06-11,13:53:50,2006020,1348488,116300,38008,541232,463928,
2024-06-11,13:53:55,2006020,1348420,116048,38024,541552,463976,
2024-06-11,13:54:00,2006020,1348648,115544,38032,541828,463736,
2024-06-11,13:54:05,2006020,1346620,117308,38032,542092,465760,
2024-06-11,13:54:10,2006020,1345888,117056,38032,543076,466404,
2024-06-11,13:54:15,2006020,1344924,116804,38044,544292,467344,
2024-06-11,13:54:20,2006020,1343548,116552,38032,545920,468804,
2024-06-11,13:54:25,2006020,1344400,111516,39888,550104,466068,
2024-06-11,13:54:30,2006020,1352660,102948,39888,550412,457804,
2024-06-11,13:54:35,2006020,1352596,102948,39888,550476,457868,
2024-06-11,13:54:40,2006020,1352756,102696,39912,550568,457684,
2024-06-11,13:54:45,2006020,1352684,102696,39920,550640,457748,
2024-06-11,13:54:50,2006020,1352620,102696,39920,550704,457812,
2024-06-11,13:54:55,2006020,1352548,102696,39920,550776,457880,
2024-06-11,13:55:00,2006020,1352484,102696,39920,550840,457944,
2024-06-11,13:55:05,2006020,1352388,102696,39948,550936,458012,
2024-06-11,13:55:10,2006020,1352200,102696,39948,551124,458200,
2024-06-11,13:55:15,2006020,1352088,102696,39992,551236,458264,
2024-06-11,13:55:20,2006020,1346392,106464,39992,553164,463956,
2024-06-11,13:55:26,2006020,1346576,106212,39992,553232,463772,
2024-06-11,13:55:31,2006020,1346512,106212,39992,553296,463836,
2024-06-11,13:55:36,2006020,1346448,106212,39992,553360,463900,
2024-06-11,13:55:41,2006020,1346632,105960,39992,553428,463712,
2024-06-11,13:55:46,2006020,1346484,105960,39992,553576,463860,
2024-06-11,13:55:51,2006020,1345556,105960,39992,554504,464784,
2024-06-11,13:55:56,2006020,1345492,105960,39992,554568,464848,
2024-06-11,13:56:01,2006020,1345408,105960,40012,554652,464912,
2024-06-11,13:56:06,2006020,1345340,105960,40012,554720,464980,
2024-06-11,13:56:11,2006020,1345272,105960,40012,554788,465044,
2024-06-11,13:56:16,2006020,1354040,96948,40012,555032,456272,
2024-06-11,13:56:21,2006020,1326192,124744,40012,555084,484124,
2024-06-11,13:56:26,2006020,1327580,123236,40012,555204,482736,
2024-06-11,13:56:31,2006020,1329408,121264,40012,555348,480860,
2024-06-11,13:56:36,2006020,1329344,121264,40012,555412,480968,
2024-06-11,13:56:41,2006020,1329280,121264,40012,555476,481032,
2024-06-11,13:56:46,2006020,1329028,121264,40012,555728,481280,
2024-06-11,13:56:51,2006020,1328932,121264,40040,555824,481344,
2024-06-11,13:56:56,2006020,1327284,110028,39764,568708,483112,
2024-06-11,13:57:01,2006020,1304612,108744,39764,592664,505224,
2024-06-11,13:57:06,2006020,1292748,102708,39764,610564,516848,
2024-06-11,13:57:11,2006020,1291984,115272,39760,598764,517524,
2024-06-11,13:57:16,2006020,1243000,104936,39736,658084,566648,
2024-06-11,13:57:21,2006020,1069364,217624,39020,719032,740976,
2024-06-11,13:57:26,2006020,1078756,201496,39020,725768,731512,
2024-06-11,13:57:31,2006020,1110544,131004,39024,764472,699232,
2024-06-11,13:57:36,2006020,1141280,116596,39028,748144,665516,
2024-06-11,13:57:41,2006020,1136832,118168,39028,751020,666352,
2024-06-11,13:57:46,2006020,1109024,185408,39032,711588,692420,
2024-06-11,13:57:51,2006020,1069616,269628,39028,666776,730356,
2024-06-11,13:57:56,2006020,1069484,269628,39028,666908,730488,
2024-06-11,13:58:01,2006020,1065084,262068,39028,678868,734796,
2024-06-11,13:58:06,2006020,1073484,242172,39044,690364,726440,
2024-06-11,13:58:11,2006020,1085552,229572,39048,690896,714336,
2024-06-11,13:58:16,2006020,1085084,229572,39048,691364,714804,
2024-06-11,13:58:21,2006020,1126428,155816,39048,723776,672884,
2024-06-11,13:58:26,2006020,1121136,111988,38996,772896,674900,
2024-06-11,13:58:31,2006020,976472,243244,38952,786304,817712,
2024-06-11,13:58:36,2006020,979036,238864,38952,788120,814960,
2024-06-11,13:58:41,2006020,978868,238612,38952,788540,815128,
2024-06-11,13:58:46,2006020,1000856,216184,38952,788980,793140,
2024-06-11,13:58:51,2006020,997616,216184,38952,792220,796380,
2024-06-11,13:58:56,2006020,1028176,155984,38952,821860,765692,
2024-06-11,13:59:01,2006020,954580,224784,38736,826656,837484,
2024-06-11,13:59:06,2006020,1005940,153856,38736,846224,785980,
2024-06-11,13:59:11,2006020,1074060,94552,25888,837408,733040,
2024-06-11,13:59:16,2006020,1074024,101100,25884,830896,734352,
2024-06-11,13:59:21,2006020,1074524,100076,25884,831420,733852,
2024-06-11,13:59:26,2006020,1074288,94280,25884,837452,734092,
2024-06-11,13:59:31,2006020,1075200,92264,25884,838556,733188,
2024-06-11,13:59:36,2006020,1075720,91004,25884,839296,732668,
2024-06-11,13:59:41,2006020,1065192,109256,26068,831572,744064,
2024-06-11,13:59:46,2006020,1066584,106484,26068,832952,742720,
2024-06-11,13:59:51,2006020,1066752,105980,26068,833288,742508,
2024-06-11,13:59:56,2006020,1071728,158904,29748,775388,734776,
2024-06-11,14:00:02,2006020,1084868,120420,31056,800732,719572,
2024-06-11,14:00:07,2006020,1083820,120168,31088,802032,720756,
2024-06-11,14:00:12,2006020,1083892,119664,31088,802464,720684,
2024-06-11,14:00:17,2006020,1090404,112384,31100,803232,714244,
2024-06-11,14:00:22,2006020,1089676,111880,31112,804464,714848,
2024-06-11,14:00:27,2006020,1089496,111628,31112,804896,715036,
2024-06-11,14:00:32,2006020,1094332,105580,31116,806108,710216,
2024-06-11,14:00:37,2006020,1096776,99020,31116,810224,707876,
2024-06-11,14:00:42,2006020,1098588,93520,31124,813912,706052,
2024-06-11,14:00:47,2006020,1098872,92764,31124,814384,705768,
2024-06-11,14:00:52,2006020,1098424,92764,31124,814832,706216,
2024-06-11,14:00:57,2006020,1097976,92764,31124,815280,706664,
2024-06-11,14:01:02,2006020,1098276,92008,31124,815736,706364,
2024-06-11,14:01:07,2006020,1098200,91504,31124,816316,706440,
2024-06-11,14:01:12,2006020,1098896,90496,31124,816628,705744,
2024-06-11,14:01:17,2006020,1101176,87988,31124,816856,703464,
2024-06-11,14:01:22,2006020,1101996,86616,31124,817408,702644,
2024-06-11,14:01:27,2006020,1100764,103624,31128,801632,703944,
2024-06-11,14:01:32,2006020,1108264,94400,31132,803356,696340,
2024-06-11,14:01:37,2006020,1108160,93896,31132,803964,696460,
2024-06-11,14:01:42,2006020,1107960,93644,31132,804416,696744,
2024-06-11,14:01:47,2006020,1108032,93140,31132,804848,696672,
2024-06-11,14:01:52,2006020,1108348,92384,31132,805288,696324,
2024-06-11,14:01:57,2006020,1109040,92132,30132,804848,696664,
2024-06-11,14:02:02,2006020,1108600,92132,30132,805288,697104,
2024-06-11,14:02:07,2006020,1108280,91880,30132,805860,697424,
2024-06-11,14:02:12,2006020,1108088,91628,30136,806304,697612,
2024-06-11,14:02:17,2006020,1107896,91376,30136,806748,697804,
2024-06-11,14:02:22,2006020,1083628,149464,33496,772928,718844,
2024-06-11,14:02:27,2006020,1086388,146216,33496,773416,716092,
2024-06-11,14:02:32,2006020,1086200,145964,33496,773856,716280,
2024-06-11,14:02:37,2006020,1087688,143948,33496,774384,714792,
2024-06-11,14:02:42,2006020,1087216,143948,33496,774856,715264,
2024-06-11,14:02:47,2006020,1090580,140168,33496,775272,711900,
2024-06-11,14:02:52,2006020,1090412,139916,33496,775692,712060,
